"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"45.131.6.57","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.149","414.000","0.507","99.998"
"45.131.6.58","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.328","594.000","0.353","99.995"
"45.131.6.59","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.101","1793.000","0.117","99.994"
"45.131.6.6","80","http","anonymous","2024-09-21 18:20:08","true","true","true","true","true","","ZZ","0.278","443.000","0.474","99.995"
"45.131.6.60","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.219","889.000","0.236","99.995"
"45.131.6.61","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.036","912.000","0.229","99.991"
"45.131.6.62","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.028","2506.000","0.081","99.994"
"45.131.6.63","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.096","1521.000","0.138","99.997"
"45.131.6.64","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.072","2200.000","0.096","99.996"
"45.131.6.65","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.104","1110.000","0.191","99.997"
"45.131.6.66","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.108","1575.000","0.133","99.993"
"45.131.6.67","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.225","401.000","0.519","99.996"
"45.131.6.68","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.034","4180.000","0.051","99.998"
"45.131.6.69","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.266","675.000","0.309","99.993"
"45.131.6.7","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.131","1192.000","0.177","99.998"
"45.131.6.70","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.075","1916.000","0.108","99.995"
"45.131.6.71","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.204","639.000","0.327","99.997"
"45.131.6.72","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.057","2548.000","0.083","99.993"
"45.131.6.73","80","http","anonymous","2024-09-21 18:20:09","true","true","true","true","true","","ZZ","0.683","283.000","0.738","99.994"
"45.131.6.74","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.066","889.000","0.237","99.996"
"45.131.6.75","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.023","3215.000","0.066","99.996"
"45.131.6.76","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.035","651.000","0.321","99.993"
"45.131.6.77","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.024","4375.000","0.049","99.995"
"45.131.6.78","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.218","875.000","0.240","99.999"
"45.131.6.79","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.158","1105.000","0.191","99.997"
"45.131.6.8","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.051","1186.000","0.178","99.996"
"45.131.6.80","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.087","1981.000","0.106","99.996"
"45.131.6.81","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.100","672.000","0.311","99.996"
"45.131.6.82","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.349","326.000","0.644","99.998"
"45.131.6.83","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.545","188.000","1.118","99.996"
"45.131.6.84","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.078","1779.000","0.118","99.998"
"45.131.6.85","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.183","864.000","0.243","99.993"
"45.131.6.86","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.159","1124.000","0.185","99.996"
"45.131.6.87","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.044","3181.000","0.066","99.993"
"45.131.6.88","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.016","401.000","0.523","99.996"
"45.131.6.89","80","http","anonymous","2024-09-21 18:20:09","true","true","true","true","true","","ZZ","0.072","1050.000","0.200","99.997"
"45.131.6.9","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.017","4772.000","0.045","99.996"
"45.131.6.90","80","http","anonymous","2024-09-21 18:20:08","true","true","true","true","true","","ZZ","0.426","448.000","0.465","99.996"
"45.131.6.91","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.165","1135.000","0.186","99.996"
"45.131.6.92","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.330","591.000","0.355","99.999"
"45.131.6.93","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.173","882.000","0.238","99.998"
"45.131.6.94","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.192","846.000","0.248","99.996"
"45.131.6.95","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.151","1193.000","0.176","99.997"
"45.131.6.96","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.101","1677.000","0.125","99.992"
"45.131.6.97","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.071","540.000","0.387","99.995"
"45.131.6.98","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.003","3962.000","0.054","99.997"
"45.131.6.99","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.061","2187.000","0.096","99.998"
"45.131.7.0","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.169","1082.000","0.194","99.996"
"45.131.7.1","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.331","495.000","0.354","99.995"
"45.131.7.10","80","http","anonymous","2024-09-21 18:20:11","true","true","true","true","true","","ZZ","0.011","791.000","0.264","99.995"
"45.131.7.100","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.080","1658.000","0.127","99.996"
"45.131.7.101","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.379","184.000","1.142","99.994"
"45.131.7.102","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.033","155.000","1.350","99.994"
"45.131.7.103","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.111","1620.000","0.129","99.993"
"45.131.7.104","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.222","816.000","0.256","99.992"
"45.131.7.105","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.024","822.000","0.255","99.996"
"45.131.7.106","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.081","1306.000","0.160","99.995"
"45.131.7.107","80","http","anonymous","2024-09-21 18:20:14","true","true","true","true","true","","ZZ","0.067","1672.000","0.125","99.996"
"45.131.7.108","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.060","2625.000","0.081","99.996"
"45.131.7.109","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.082","2029.000","0.104","99.999"
"45.131.7.11","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.189","945.000","0.222","99.992"
"45.131.7.110","80","http","anonymous","2024-09-21 18:20:13","true","true","true","true","true","","ZZ","0.240","541.000","0.389","99.993"
"45.131.7.111","80","http","anonymous","2024-09-21 18:20:10","true","true","true","true","true","","ZZ","0.645","306.000","0.679","99.995"
"45.131.7.112","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.251","180.000","1.156","99.993"
"45.131.7.113","80","http","anonymous","2024-09-21 18:20:12","true","true","true","true","true","","ZZ","0.210","878.000","0.239","99.996"
"45.131.7.114","80","http","anonymous","2024-09-21 18:20:16","true","true","true","true","true","","ZZ","0.196","976.000","0.213","99.998"
"45.131.7.115","80","http","anonymous","2024-09-21 18:20:15","true","true","true","true","true","","ZZ","0.210","846.000","0.248","99.997"
